,SMILES,DBPP_SCORE,SMILES_1
40,CC(C)(c1ccc(-c2ccc(CO[C@H]3CCC[C@@H]3NC(=O)c3cc(-c4cccnc4F)cnc3N)cc2)cc1)N1CCN(CCO)CC1,0.740453058,O=C(N[C@H]1CCC[C@@H]1OCC2=CC=C(C3=CC=C(C(C)(C)N4CCN(CCO)CC4)C=C3)C=C2)C5=C(N)N=CC(C6=CC=CN=C6F)=C5
41,Cn1ccc(-c2cnc(N)c(C(=O)N[C@H]3CCC[C@@H]3OCc3ccc(-c4ccc(C(C)(C)N5CCN(CCO)CC5)cc4)cc3)c2)cc1=O,0.44856564,O=C(N[C@H]1CCC[C@@H]1OCC2=CC=C(C3=CC=C(C(C)(C)N4CCN(CCO)CC4)C=C3)C=C2)C5=C(N)N=CC(C6=CC(N(C)C=C6)=O)=C5
42,CC(C)(c1ccc(-c2ccc(CO[C@H]3CCC[C@@H]3NC(=O)c3cc(-c4ccnnc4)cnc3N)cc2)cc1)N1CCN(CCO)CC1,0.53897121,O=C(N[C@H]1CCC[C@@H]1OCC2=CC=C(C3=CC=C(C(C)(C)N4CCN(CCO)CC4)C=C3)C=C2)C5=C(N)N=CC(C6=CN=NC=C6)=C5
43,Cn1cc(-c2cnc(N)c(C(=O)N[C@H]3CCC[C@@H]3OCc3ccc(-c4ccc(C(C)(C)N5CCN(CC(O)CO)CC5)cc4)cc3)c2)cn1,0.786628836,NC1=NC=C(C2=CN(C)N=C2)C=C1C(N[C@H]3CCC[C@@H]3OCC4=CC=C(C5=CC=C(C(C)(C)N6CCN(CC(O)CO)CC6)C=C5)C=C4)=O
44,Cn1cc(-c2cnc(N)c(C(=O)N[C@H]3CCC[C@@H]3OCc3ccc(-c4ccc(C(C)(C)N5CCN(CC#N)CC5)cc4)cc3)c2)cn1,0.674713614,NC1=NC=C(C2=CN(C)N=C2)C=C1C(N[C@H]3CCC[C@@H]3OCC4=CC=C(C5=CC=C(C(C)(C)N6CCN(CC#N)CC6)C=C5)C=C4)=O
45,Cn1cc(-c2cnc(N)c(C(=O)N[C@H]3CCC[C@@H]3OCc3ccc(-c4ccc(C(C)(C)N5CCN(Cc6ncc[nH]6)CC5)cc4)cc3)c2)cn1,0.897401198,NC1=NC=C(C2=CN(C)N=C2)C=C1C(N[C@H]3CCC[C@@H]3OCC4=CC=C(C5=CC=C(C(C)(C)N6CCN(CC7=NC=CN7)CC6)C=C5)C=C4)=O
46,CC(=O)N1CCN(C(C)(C)c2ccc(-c3ccc(CO[C@H]4CCC[C@@H]4NC(=O)c4cc(-c5cnn(C)c5)cnc4N)cc3)cc2)CC1,0.632885433,NC1=NC=C(C2=CN(C)N=C2)C=C1C(N[C@H]3CCC[C@@H]3OCC4=CC=C(C5=CC=C(C(C)(C)N6CCN(C(C)=O)CC6)C=C5)C=C4)=O
47,Cn1cc(-c2cnc(N)c(C(=O)N[C@H]3CCC[C@@H]3OCc3ccc(-c4ccc(C(F)(F)C5CCN(CCO)CC5)cc4)cc3)c2)cn1,0.723938168,O=C(N[C@H]1CCC[C@@H]1OCC2=CC=C(C3=CC=C(C(F)(F)C4CCN(CCO)CC4)C=C3)C=C2)C5=C(N)N=CC(C6=CN(C)N=C6)=C5
48,Cn1cc(-c2cnc(N)c(C(=O)N[C@H]3CCC[C@@H]3OCc3ccc(-c4ccc(OC5CCN(CCO)CC5)cc4)cc3)c2)cn1,0.919780126,NC1=NC=C(C2=CN(C)N=C2)C=C1C(N[C@H]3CCC[C@@H]3OCC4=CC=C(C5=CC=C(OC6CCN(CCO)CC6)C=C5)C=C4)=O
49,CN(c1ccc(-c2ccc(CO[C@H]3CCC[C@@H]3NC(=O)c3cc(-c4cnn(C)c4)cnc3N)cc2)cc1)C1CCN(CCO)CC1,0.847755581,O=C(C1=C(N)N=CC(C2=CN(C)N=C2)=C1)N[C@H]3CCC[C@@H]3OCC4=CC=C(C5=CC=C(N(C)C6CCN(CCO)CC6)C=C5)C=C4
50,CN(c1ccc(-c2ccc(CO[C@H]3CCC[C@@H]3NC(=O)c3cc(-c4cnn(C)c4)cnc3N)cc2)cn1)C1CCN(CCO)CC1,0.905150071,O=C(C1=C(N)N=CC(C2=CN(C)N=C2)=C1)N[C@H]3CCC[C@@H]3OCC4=CC=C(C5=CN=C(N(C)C6CCN(CCO)CC6)C=C5)C=C4
51,Cn1cc(-c2cnc(N)c(C(=O)N[C@H]3CCC[C@@H]3OCc3ccc(-c4ccc(S(=O)(=O)C5CCN(CCO)CC5)cc4)cc3)c2)cn1,0.960419533,O=C(C1=C(N)N=CC(C2=CN(C)N=C2)=C1)N[C@H]3CCC[C@@H]3OCC4=CC=C(C5=CC=C(S(C6CCN(CCO)CC6)(=O)=O)C=C5)C=C4
52,Cn1cc(-c2cnc(N)c(C(=O)N[C@H]3CCC[C@@H]3OCc3ccc(-c4ccc5c(c4)CC[C@@H]5N4CCN(CCO)CC4)cc3)c2)cn1,0.956922545,O=C(N[C@H]1CCC[C@@H]1OCC2=CC=C(C3=CC(CC4)=C([C@H]4N5CCN(CCO)CC5)C=C3)C=C2)C6=C(N)N=CC(C7=CN(C)N=C7)=C6
53,Cn1cc(-c2cnc(N)c(C(=O)N[C@H]3CCC[C@@H]3OCc3ccc(-c4ccc5c(c4)CC[C@H]5N4CCN(CCO)CC4)cc3)c2)cn1,0.956922545,O=C(N[C@H]1CCC[C@@H]1OCC2=CC=C(C3=CC(CC4)=C([C@@H]4N5CCN(CCO)CC5)C=C3)C=C2)C6=C(N)N=CC(C7=CN(C)N=C7)=C6
54,Cn1cc(-c2cnc(N)c(C(=O)N[C@H]3CCC[C@@H]3OCc3ccc(-c4ccc5c(c4)CCC[C@@H]5N4CCN(CCO)CC4)cc3)c2)cn1,0.976079644,O=C(C1=C(N)N=CC(C2=CN(C)N=C2)=C1)N[C@H]3CCC[C@@H]3OCC4=CC=C(C5=CC6=C([C@H](CCC6)N7CCN(CCO)CC7)C=C5)C=C4
55,C[C@@H](c1ccc(-c2ccc(CO[C@H]3CCC[C@@H]3NC(=O)c3cc(-c4cnn(C)c4)cnc3N)cc2)cc1)N1CCN(CCO)CC1,0.841666883,O=C(C1=C(N)N=CC(C2=CN(C)N=C2)=C1)N[C@H]3CCC[C@@H]3OCC4=CC=C(C5=CC=C([C@H](C)N6CCN(CCO)CC6)C=C5)C=C4
56,Cn1cc(-c2cnc(N)c(C(=O)N[C@H]3CCC[C@@H]3OCc3ccc(-c4ccc([C@@H](N5CCN(CCO)CC5)C(F)(F)F)cc4)cc3)c2)cn1,0.907383408,O=C(C1=C(N)N=CC(C2=CN(C)N=C2)=C1)N[C@H]3CCC[C@@H]3OCC4=CC=C(C5=CC=C([C@H](C(F)(F)F)N6CCN(CCO)CC6)C=C5)C=C4
57,Nc1ncc(-c2ccc(F)nc2)cc1C(=O)N[C@H]1CCC[C@@H]1OCc1ccc(-c2ccc3c(c2)CC[C@@H]3N2CCN(CC(O)CO)CC2)cc1,0.94433291,O=C(N[C@H]1CCC[C@@H]1OCC2=CC=C(C3=CC(CC4)=C([C@H]4N5CCN(CC(CO)O)CC5)C=C3)C=C2)C6=C(N)N=CC(C7=CC=C(F)N=C7)=C6
58,Nc1ncc(-c2cccnc2F)cc1C(=O)N[C@H]1CCC[C@@H]1OCc1ccc(-c2ccc3c(c2)CC[C@@H]3N2CCN(CCO)CC2)cc1,0.917444859,O=C(N[C@H]1CCC[C@@H]1OCC2=CC=C(C3=CC(CC4)=C([C@H]4N5CCN(CCO)CC5)C=C3)C=C2)C6=C(N)N=CC(C7=CC=CN=C7F)=C6
59,Nc1ncc(-c2cccnc2F)cc1C(=O)N[C@H]1CCC[C@@H]1OCc1ccc(-c2ccc3c(c2)CC[C@@H]3N2CCN(C[C@H](O)CO)CC2)cc1,0.941785105,O=C(N[C@H]1CCC[C@@H]1OCC2=CC=C(C3=CC(CC4)=C([C@H]4N5CCN(C[C@@H](CO)O)CC5)C=C3)C=C2)C6=C(N)N=CC(C7=CC=CN=C7F)=C6
60,Nc1ncc(-c2cccnc2F)cc1C(=O)N[C@H]1CCC[C@@H]1OCc1ccc(-c2ccc3c(c2)CC[C@@H]3N2CCN(C[C@@H](O)CO)CC2)cc1,0.941785105,O=C(N[C@H]1CCC[C@@H]1OCC2=CC=C(C3=CC(CC4)=C([C@H]4N5CCN(C[C@H](CO)O)CC5)C=C3)C=C2)C6=C(N)N=CC(C7=CC=CN=C7F)=C6
61,Cn1cc(-c2cnc(N)c(C(=O)N[C@H]3CCC[C@@H]3OCc3ccc(-c4ccc([C@@H](N5CCN(C[C@H](O)CO)CC5)C(F)(F)F)cc4)cc3)c2)cn1,0.963732032,O=C(C1=C(N)N=CC(C2=CN(C)N=C2)=C1)N[C@H]3CCC[C@@H]3OCC4=CC=C(C5=CC=C([C@H](C(F)(F)F)N6CCN(C[C@@H](CO)O)CC6)C=C5)C=C4
62,Cn1cc(-c2cnc(N)c(C(=O)N[C@H]3CCC[C@@H]3OCc3ccc(-c4ccc([C@@H](N5CCN(C[C@@H](O)CO)CC5)C(F)(F)F)cc4)cc3)c2)cn1,0.963732032,O=C(C1=C(N)N=CC(C2=CN(C)N=C2)=C1)N[C@H]3CCC[C@@H]3OCC4=CC=C(C5=CC=C([C@H](C(F)(F)F)N6CCN(C[C@H](CO)O)CC6)C=C5)C=C4
63,Nc1ncc(-c2cccnc2F)cc1C(=O)N[C@H]1CCC[C@@H]1OCc1ccc(-c2ccc([C@@H](N3CCN(C[C@H](O)CO)CC3)C(F)(F)F)cc2)cc1,0.956986117,O=C(C1=C(N)N=CC(C2=C(F)N=CC=C2)=C1)N[C@H]3CCC[C@@H]3OCC4=CC=C(C5=CC=C([C@H](C(F)(F)F)N6CCN(C[C@@H](CO)O)CC6)C=C5)C=C4
64,Cn1cc(-c2cnc(N)c(C(=O)N[C@H]3CCC[C@@H]3OCc3ccc(-c4ccc5c(c4)CC(F)(F)[C@@H]5N4CCN(CCO)CC4)cc3)c2)cn1,0.930199679,O=C(N[C@H]1CCC[C@@H]1OCC2=CC=C(C3=CC(CC4(F)F)=C([C@H]4N5CCN(CCO)CC5)C=C3)C=C2)C6=C(N)N=CC(C7=CN(C)N=C7)=C6
65,Nc1ncc(-c2cccnc2F)cc1C(=O)N[C@H]1CCC[C@@H]1OCc1ccc(-c2ccc3c(c2)CCC[C@@H]3N2CCN(C[C@H](O)CO)CC2)cc1,0.960738085,O=C(N[C@H]1CCC[C@@H]1OCC2=CC=C(C3=CC4=C([C@H](CCC4)N5CCN(C[C@@H](CO)O)CC5)C=C3)C=C2)C6=C(N)N=CC(C7=CC=CN=C7F)=C6
66,COc1cc(C(=O)NC[C@](O)(c2cc3c(c(-c4ccc(F)cc4)n2)OC[C@]3(C)N)C(F)(F)F)ccc1OC[C@@H](C)O,0.737681602,O=C(NC[C@](O)(C1=CC2=C(OC[C@]2(C)N)C(C3=CC=C(F)C=C3)=N1)C(F)(F)F)C4=CC=C(OC[C@H](O)C)C(OC)=C4
67,COc1cc(C(=O)NC[C@](O)(c2cc3c(c(-c4ccc(F)cc4)n2)OC[C@]3(C)NS(C)(=O)=O)C(F)(F)F)ccc1OC[C@@H](C)O,0.848787629,O=C(NC[C@](O)(C1=CC2=C(OC[C@]2(C)NS(=O)(C)=O)C(C3=CC=C(F)C=C3)=N1)C(F)(F)F)C4=CC=C(OC[C@H](O)C)C(OC)=C4
68,COc1cc(C(=O)NC[C@](O)(c2cc3c(c(-c4ccc(F)cc4)n2)OC[C@]3(C)NC(C)=O)C(F)(F)F)ccc1OC[C@@H](C)O,0.688069118,O=C(NC[C@](O)(C1=CC2=C(OC[C@@]2(NC(C)=O)C)C(C3=CC=C(F)C=C3)=N1)C(F)(F)F)C4=CC=C(OC[C@H](O)C)C(OC)=C4
69,COc1cc(C(=O)NC[C@](O)(c2cc3c(c(-c4ccc(F)cc4)n2)OC[C@]3(C)NS(C)(=O)=O)C(F)(F)F)cn2cc(CO)nc12,0.860080096,O=C(C1=CN2C(C(OC)=C1)=NC(CO)=C2)NC[C@](O)(C3=CC4=C(OC[C@]4(C)NS(=O)(C)=O)C(C5=CC=C(F)C=C5)=N3)C(F)(F)F
70,COc1cc(C(=O)NC[C@](O)(c2cc3c(c(-c4ccc(F)cc4)n2)OC[C@]3(C)NS(C)(=O)=O)C(F)(F)F)cc2sc(N)nc12,0.766875745,O=C(C1=CC(OC)=C2N=C(N)SC2=C1)NC[C@](O)(C3=CC4=C(OC[C@]4(C)NS(=O)(C)=O)C(C5=CC=C(F)C=C5)=N3)C(F)(F)F
71,COc1cc(C(=O)NC[C@](O)(c2cc3c(c(-c4ccc(F)cc4)n2)OC[C@]3(C)NS(C)(=O)=O)C(F)(F)F)cc2cccnc12,0.281507667,O=C(C1=CC(OC)=C2N=CC=CC2=C1)NC[C@](O)(C3=CC4=C(OC[C@]4(C)NS(=O)(C)=O)C(C5=CC=C(F)C=C5)=N3)C(F)(F)F
72,COc1cc(C(=O)NC[C@](O)(c2cc3c(c(-c4ccc(F)cc4)n2)OC[C@]3(C)NC(C)=O)C(F)(F)F)cc2cccnc12,0.190510078,O=C(C1=CC(OC)=C2N=CC=CC2=C1)NC[C@](O)(C3=CC4=C(OC[C@@]4(NC(C)=O)C)C(C5=CC=C(F)C=C5)=N3)C(F)(F)F
73,CC(=O)N[C@@]1(C)COc2c1cc([C@@](O)(CNC(=O)c1cc(OC3CC3)c3ncccc3c1)C(F)(F)F)nc2-c1ccc(F)cc1,0.330975545,O=C(C1=CC(OC2CC2)=C3N=CC=CC3=C1)NC[C@](O)(C4=CC5=C(OC[C@@]5(NC(C)=O)C)C(C6=CC=C(F)C=C6)=N4)C(F)(F)F
74,CC(=O)N[C@@]1(C)COc2c1cc([C@@](O)(CNC(=O)c1cc(OC3CC3)c3ncc(F)cc3c1)C(F)(F)F)nc2-c1ccc(F)cc1,0.686273677,O=C(C1=CC(OC2CC2)=C3N=CC(F)=CC3=C1)NC[C@](O)(C4=CC5=C(OC[C@@]5(NC(C)=O)C)C(C6=CC=C(F)C=C6)=N4)C(F)(F)F
