,SMILES,Molskill
46,NC1=NC=C(C2=CN(C)N=C2)C=C1C(N[C@H]3CCC[C@@H]3OCC4=CC=C(C5=CC=C(C(C)(C)N6CCN(C(C)=O)CC6)C=C5)C=C4)=O,-0.6166495
47,O=C(N[C@H]1CCC[C@@H]1OCC2=CC=C(C3=CC=C(C(F)(F)C4CCN(CCO)CC4)C=C3)C=C2)C5=C(N)N=CC(C6=CN(C)N=C6)=C5,-3.5837688
48,NC1=NC=C(C2=CN(C)N=C2)C=C1C(N[C@H]3CCC[C@@H]3OCC4=CC=C(C5=CC=C(OC6CCN(CCO)CC6)C=C5)C=C4)=O,-2.583557
49,O=C(C1=C(N)N=CC(C2=CN(C)N=C2)=C1)N[C@H]3CCC[C@@H]3OCC4=CC=C(C5=CC=C(N(C)C6CCN(CCO)CC6)C=C5)C=C4,2.198657
50,O=C(C1=C(N)N=CC(C2=CN(C)N=C2)=C1)N[C@H]3CCC[C@@H]3OCC4=CC=C(C5=CN=C(N(C)C6CCN(CCO)CC6)C=C5)C=C4,3.4632912
51,O=C(C1=C(N)N=CC(C2=CN(C)N=C2)=C1)N[C@H]3CCC[C@@H]3OCC4=CC=C(C5=CC=C(S(C6CCN(CCO)CC6)(=O)=O)C=C5)C=C4,-2.926104
52,O=C(N[C@H]1CCC[C@@H]1OCC2=CC=C(C3=CC(CC4)=C([C@H]4N5CCN(CCO)CC5)C=C3)C=C2)C6=C(N)N=CC(C7=CN(C)N=C7)=C6,-3.6381526
53,O=C(N[C@H]1CCC[C@@H]1OCC2=CC=C(C3=CC(CC4)=C([C@@H]4N5CCN(CCO)CC5)C=C3)C=C2)C6=C(N)N=CC(C7=CN(C)N=C7)=C6,-3.6381526
54,O=C(C1=C(N)N=CC(C2=CN(C)N=C2)=C1)N[C@H]3CCC[C@@H]3OCC4=CC=C(C5=CC6=C([C@H](CCC6)N7CCN(CCO)CC7)C=C5)C=C4,-0.01477671
55,O=C(C1=C(N)N=CC(C2=CN(C)N=C2)=C1)N[C@H]3CCC[C@@H]3OCC4=CC=C(C5=CC=C([C@H](C)N6CCN(CCO)CC6)C=C5)C=C4,0.55486333
56,O=C(C1=C(N)N=CC(C2=CN(C)N=C2)=C1)N[C@H]3CCC[C@@H]3OCC4=CC=C(C5=CC=C([C@H](C(F)(F)F)N6CCN(CCO)CC6)C=C5)C=C4,3.3659406
